-1,0,0
0,0,0
1,0,0
2,32,0.05
3,38,0.06
4,39,0.02
5,10,0.02
6,28,0.03
7,27,0.05
8,26,0.02
9,21,0.02
10,23,0.02
-1,0,0
0,0,0
1,0,0
-1,0,0
0,0,0
1,0,0
-1,0,0
0,0,0
1,0,0
2,31,0.05
3,16,0.02
4,14,0.03
5,19,0.02
6,13,0
7,23,0
8,17,0.02
9,21,0
10,24,0
11,29,0.03
-1,0,0
0,0,0
1,0,0
2,16,0.02
3,13,0.03
4,30,0.03
5,13,0
-1,0,0
0,0,0
1,0,0
2,14,0.02
3,16,0.03
4,30,0.05
-1,0,0
0,0,0
1,0,0
2,27,0
3,26,0.05
4,18,0.02
5,45,0.02
6,12,0.02
7,27,0.02
8,46,0.06
9,24,0.02
10,21,0.02
11,25,0.02
12,55,0.02
13,19,0.02
14,34,0.03
15,58,0.06
16,17,0.02
17,20,0.03
18,39,0.02
19,40,0.08
20,38,0.02
21,14,0
22,71,0.02
23,12,0.02
24,53,0.1
25,56,0.03
26,43,0.03
27,46,0.02
28,20,0.02
29,26,0.02
30,42,0
31,30,0.02
32,15,0.02
33,13,0.02
34,10,0.02
35,32,0.03
36,32,0.06
37,15,0.02
38,33,0.03
39,26,0.02
40,65,0.05
41,44,0.02
42,53,0.06
43,29,0.05
44,25,0.06
45,124,0.11
46,42,0.06
47,23,0.02
48,117,0.11
49,28,0.02
50,52,0.03
51,18,0
52,9,0.02
53,29,0.03
54,29,0.02
55,35,0.03
56,15,0.02
57,19,0
58,33,0.03
59,37,0.02
60,47,0.06
61,21,0.02
62,17,0.05
63,15,0.02
64,11,0.03
65,25,0.03
66,19,0.02
67,10,0
68,42,0.02
69,63,0.13
70,13,0.02
71,22,0
72,13,0.02
73,13,0.02
74,51,0.1
75,22,0.03
76,17,0.03
77,43,0.13
78,31,0.02
79,23,0.02
80,17,0.02
81,49,0.06
82,19,0.05
83,43,0.06
84,30,0.02
85,20,0.02
86,16,0.02
87,11,0.02
88,27,0.03
89,36,0.06
90,62,0.05
91,20,0.03
92,11,0.02
93,38,0.02
94,24,0
95,41,0.08
96,24,0.08
97,31,0.03
98,61,0.02
99,17,0.05
100,23,0
101,47,0.1
102,13,0.05
103,37,0.08
104,24,0.06
105,45,0.11
106,10,0.02
107,11,0.02
108,20,0.03
109,14,0.02
110,18,0
111,10,0.02
112,24,0.03
113,13,0.02
114,11,0.03
115,20,0.03
116,20,0
117,22,0.02
118,18,0.03
119,15,0.05
120,18,0.02
121,12,0.02
122,9,0.02
123,43,0.02
124,21,0.03
125,19,0.03
126,13,0.02
127,35,0.02
128,10,0.02
129,17,0.03
130,42,0.05
131,18,0.02
132,8,0.02
133,16,0
134,17,0.02
135,31,0.03
136,11,0
137,19,0.05
138,35,0.02
139,19,0.03
140,47,0.05
141,37,0.06
142,28,0
143,27,0.02
144,21,0.03
145,20,0.02
146,27,0.05
147,13,0.02
148,16,0.03
149,22,0.06
150,14,0.05
151,18,0
152,22,0.06
153,28,0.05
154,13,0.02
155,13,0.02
156,33,0.06
157,36,0.08
158,20,0.06
159,24,0.02
160,12,0.02
161,16,0.02
162,15,0.02
163,34,0.08
